,SUBSCRIPTION_KEY,UPGRADE_PROB,UPGRADE_FLAG
0,364754,0.10127291732931061,N
1,292504,0.04285453046061681,N
2,38026,0.14647220515215165,N
3,93087,0.22591633711985945,N
4,117340,0.14340415422667113,N
5,339847,0.05492909892907397,N
6,151353,0.9767438443818915,Y
7,301685,0.24705542285044596,N
8,371513,0.07515615197352637,N
9,47505,0.018865485840830715,N
10,71952,0.046245751936103835,N
11,300723,0.09323965408719657,N
12,18679,0.04500517671851736,N
13,441489,0.053140036402999795,N
14,340891,0.03983983466261201,N
15,14600,0.05573413076667095,N
16,84085,0.08633597096529745,N
17,333386,0.1924796463861844,N
18,416348,0.26783417822263705,N
19,40651,0.20474223978457984,N
20,133604,0.033526537581918,N
21,57326,0.09521041372539764,N
22,368300,0.03436904883731215,N
23,319834,0.1317512560501118,N
24,427936,0.37870103869295224,N
25,186270,0.7048232742638938,Y
26,151183,0.06253200238892058,N
27,266326,0.012086344321840456,N
28,380677,0.03336482594903039,N
29,69525,0.0292301837254527,N
30,217662,0.029599012763269514,N
31,77761,0.827589344373864,Y
32,20907,0.2017428489408852,N
33,394931,0.2192068733906182,N
34,474458,0.175841111042391,N
35,315272,0.506349515718597,Y
36,47259,0.38241001432236343,N
37,247769,0.9965758031753937,Y
38,389386,0.06781310598518168,N
39,192201,0.014161981909074639,N
40,366933,0.03639233516807029,N
41,99039,0.05927683188369165,N
42,468833,0.28345995209664104,N
43,476768,0.15510314863190527,N
44,384167,0.028126099873707327,N
45,452454,0.03552667143238366,N
46,424268,0.15385792292974831,N
47,282355,0.021853906849116773,N
48,420521,0.38477989817488595,N
49,105371,0.05662121083142237,N
50,207236,0.04088423876308498,N
51,350847,0.0763750003289838,N
52,468085,0.11166139049248869,N
53,81783,0.05187305938414229,N
54,96255,0.012845619097374647,N
55,25308,0.07093612792509127,N
56,106959,0.4576418898677274,N
57,324844,0.2978998120564996,N
58,24426,0.01601527622531473,N
59,216467,0.1788459546682936,N
60,231964,0.1305739518426962,N
61,285039,0.09312073072584609,N
62,244691,0.05996005655099453,N
63,373066,0.16766508253000664,N
64,362776,0.310076269549683,N
65,96466,0.05698276884181922,N
66,446000,0.597575718464431,Y
67,108760,0.02721491136734542,N
68,424023,0.059523768462030315,N
69,447902,0.05471755003494663,N
70,52225,0.019051253848588662,N
71,130410,0.02137001578186408,N
72,36806,0.6021738783550149,Y
73,162051,0.04128654349660474,N
74,428508,0.1230689047094059,N
75,411248,0.020219653727363115,N
76,139866,0.027022891986001777,N
77,102823,0.04446297799999163,N
78,320032,0.08240600478486913,N
79,298876,0.033672775090854576,N
80,307152,0.04314461286044465,N
81,470677,0.36772379326669236,N
82,302037,0.2344828447943998,N
83,187407,0.024538454705998778,N
84,61472,0.037748843219190024,N
85,334600,0.04359778549253138,N
86,148956,0.5821970306567702,Y
87,475059,0.3887903086789039,N
88,332415,0.4992815072433652,N
89,28608,0.2955166994611108,N
90,357678,0.6041264443601521,Y
91,227752,0.07517625956936393,N
92,182822,0.012016034856777455,N
93,243397,0.17039540021087232,N
94,202218,0.14362726498671075,N
95,260361,0.23388252201371695,N
96,155319,0.029376224798924593,N
97,237815,0.05452524972589837,N
98,58536,0.3115624970080015,N
99,446617,0.03427654613127012,N
100,123486,0.3043097642813623,N
101,65795,0.14639586642226163,N
102,248044,0.031518213803450525,N
103,472317,0.13019854306969147,N
104,386390,0.1659950342902435,N
105,314821,0.19038794651059213,N
106,129014,0.03265430400863593,N
107,459711,0.24833391146637837,N
108,28967,0.042182756832391734,N
109,86499,0.5590549034700114,Y
110,159334,0.07851707689894712,N
111,225579,0.03507296306225043,N
112,451840,0.24074873231348343,N
113,276063,0.015801276250239936,N
114,223066,0.026274135650871777,N
115,451697,0.25292049468277095,N
116,462902,0.09795049156920392,N
117,368629,0.1809838359999788,N
118,429022,0.04212239950116119,N
119,131851,0.05429808480996159,N
120,117007,0.1701511491174145,N
121,251523,0.028868492312390397,N
122,414080,0.06897131601719858,N
123,30046,0.054848275448518356,N
124,329625,0.030899234485568913,N
125,339887,0.08071910047692446,N
126,207926,0.09232810629780071,N
127,77581,0.026239869346068548,N
128,50811,0.8860521664247107,Y
129,62522,0.04174450103407386,N
130,465007,0.043698840498609,N
131,83441,0.5329726554266349,Y
132,64600,0.06528623525119276,N
133,377408,0.5665681342379336,Y
134,381267,0.07638293051344054,N
135,299849,0.021307510899710377,N
136,108053,0.011481777129301193,N
137,198213,0.03325131985304093,N
138,30727,0.4557896588646619,N
139,6778,0.4623997529197527,N
140,920,0.016691120711864106,N
141,345244,0.11745296981108776,N
142,52517,0.21221418195440064,N
143,358635,0.037120841047651905,N
144,86354,0.03085950210064918,N
145,435877,0.18173214448631342,N
146,78416,0.09624304463849165,N
147,473350,0.069264760263593,N
148,134992,0.09382739291530735,N
149,440223,0.05347803184366243,N
150,213050,0.028662549565054714,N
151,408947,0.2716855695577704,N
152,475100,0.32616268922092206,N
153,144238,0.26524716689820727,N
154,435169,0.08241817053349089,N
155,59131,0.044701904736982385,N
156,390060,0.1582556213186157,N
157,110679,0.4903433159029856,N
158,190032,0.15375368469102124,N
159,416876,0.12790296511190458,N
160,463918,0.6718758905763932,Y
161,192279,0.36835124898339444,N
162,90671,0.048138735937115366,N
163,192815,0.12267251089655977,N
164,470293,0.019704842644457,N
165,156027,0.2488677897635261,N
166,467003,0.07246273211613224,N
167,144819,0.015905346625110627,N
168,233245,0.056572827473530964,N
169,110309,0.20476165404174654,N
170,427032,0.05329075078537318,N
171,105217,0.1265233707194932,N
172,378655,0.13498044024077724,N
173,451506,0.01947352090758235,N
174,455605,0.9589596703437787,Y
175,87899,0.2312253014087263,N
176,236266,0.050718885409991386,N
177,243433,0.5865096399330741,Y
178,322191,0.11676391145739422,N
179,164779,0.9992957315557645,Y
180,46541,0.07469784802019468,N
181,421303,0.6404912776549329,Y
182,402130,0.07403484396845994,N
183,303197,0.08180333386204582,N
184,245056,0.3038253172499892,N
185,430755,0.02402509025876116,N
186,104566,0.030280754449675675,N
187,335869,0.37893530161945443,N
188,5134,0.09069721455786987,N
189,10617,0.021779018489755164,N
190,401454,0.03146486549655424,N
191,62709,0.0822476464022018,N
192,278747,0.08685152415069548,N
193,63151,0.07268455079695244,N
194,431146,0.33898547061475703,N
195,208796,0.03124133571763018,N
196,299259,0.052870348249455364,N
197,40652,0.06739476278818898,N
198,201532,0.08490408296708143,N
199,230958,0.07062628225377611,N
200,413040,0.07533893250064126,N
201,18467,0.07801737984109344,N
202,273222,0.03374322135108388,N
203,17676,0.20669662614314027,N
204,325583,0.027358918009901426,N
